FA-DOMID,FA-PDBID,FA-PDBREG,FA-UNIID,FA-UNIREG,SF-DOMID,SF-PDBID,SF-PDBREG,SF-UNIID,SF-UNIREG,SCOPCLA,TP,CL,CF,SF,FA
8047941.0,3DIN,G:10-65,P35874,10-65,8053306.0,3DIN,G:10-65,P35874,10-65,"TP=2,CL=1000000,CF=2000395,SF=3002174,FA=4005885",2.0,1000000.0,2000395.0,3002174.0,4005885.0
8047938.0,5GAE,h:60-118,P0AG96,60-118,8053308.0,5GAE,h:60-118,P0AG96,60-118,"TP=2,CL=1000000,CF=2000395,SF=3002174,FA=4005885",2.0,1000000.0,2000395.0,3002174.0,4005885.0
8047940.0,3JC2,2:7-68,P60058,7-68,8053309.0,3JC2,2:7-68,P60058,7-68,"TP=2,CL=1000000,CF=2000395,SF=3002174,FA=4005885",2.0,1000000.0,2000395.0,3002174.0,4005885.0
8047942.0,2WW9,B:21-80,P35179,21-80,8053310.0,2WW9,B:21-80,P35179,21-80,"TP=2,CL=1000000,CF=2000395,SF=3002174,FA=4005885",2.0,1000000.0,2000395.0,3002174.0,4005885.0
8047944.0,5ABB,B:12-127,B7MIW7,12-127,8053311.0,5ABB,B:12-67,B7MIW7,12-67,"TP=2,CL=1000000,CF=2000395,SF=3002174,FA=4005885",2.0,1000000.0,2000395.0,3002174.0,4005885.0
8047945.0,5EUL,E:2-57,A4IJH4,2-57,8053312.0,5EUL,E:2-57,A4IJH4,2-57,"TP=2,CL=1000000,CF=2000395,SF=3002174,FA=4005885",2.0,1000000.0,2000395.0,3002174.0,4005885.0
8098781.0,6W6L,2:7-68,P60059,7-68,8098782.0,6W6L,2:7-68,P60059,7-68,"TP=2,CL=1000000,CF=2000395,SF=3002174,FA=4005885",2.0,1000000.0,2000395.0,3002174.0,4005885.0
8100257.0,3MP7,B:7-61,Q8TZK2,8-61,8100258.0,3MP7,B:7-61,Q8TZK2,8-61,"TP=2,CL=1000000,CF=2000395,SF=3002174,FA=4005885",2.0,1000000.0,2000395.0,3002174.0,4005885.0
8044984.0,5AWW,G:1-75,Q5SHE6,43-117,8053302.0,5AWW,G:1-75,Q5SHE6,43-117,"TP=2,CL=1000000,CF=2000349,SF=3002175,FA=4004237",2.0,1000000.0,2000349.0,3002175.0,4004237.0
8044985.0,3DL8,E:8-72,O66505,8-72,8053303.0,3DL8,E:8-72,O66505,8-72,"TP=2,CL=1000000,CF=2000349,SF=3002175,FA=4004237",2.0,1000000.0,2000349.0,3002175.0,4004237.0
8044986.0,3DIN,H:9-73,A0A0F6AK20,9-73,8053305.0,3DIN,H:9-73,A0A0F6AK20,9-73,"TP=2,CL=1000000,CF=2000349,SF=3002175,FA=4004237",2.0,1000000.0,2000349.0,3002175.0,4004237.0
8044987.0,2AKI,X:1-77,P0AG99,1-77,8053307.0,2AKI,X:1-77,P0AG99,1-77,"TP=2,CL=1000000,CF=2000349,SF=3002175,FA=4004237",2.0,1000000.0,2000349.0,3002175.0,4004237.0
8021419.0,1XME,C:2-34,P82543,2-34,8033799.0,1XME,C:2-34,P82543,2-34,"TP=2,CL=1000000,CF=2000395,SF=3000717,FA=4002024",2.0,1000000.0,2000395.0,3000717.0,4002024.0
8047802.0,4HHX,A:1-102,P0C6C9,1-102,8053313.0,4HHX,A:1-102,P0C6C9,1-102,"TP=1,CL=1000000,CF=2001323,SF=3002176,FA=4005829",1.0,1000000.0,2001323.0,3002176.0,4005829.0
8047804.0,2WHN,A:53-162,Q5SK58,53-162,8053314.0,2WHN,A:53-162,Q5SK58,53-162,"TP=1,CL=1000000,CF=2001323,SF=3002176,FA=4005829",1.0,1000000.0,2001323.0,3002176.0,4005829.0
8047805.0,3C1Q,A:57-170,P45780,57-170,8053315.0,3C1Q,A:57-170,P45780,57-170,"TP=1,CL=1000000,CF=2001323,SF=3002176,FA=4005829",1.0,1000000.0,2001323.0,3002176.0,4005829.0
8053319.0,6BS9,A:27-152,Q01368,27-152,8053320.0,6BS9,A:27-152,Q01368,27-152,"TP=1,CL=1000000,CF=2001323,SF=3002176,FA=4007601",1.0,1000000.0,2001323.0,3002176.0,4007601.0
8081357.0,5NBG,B:65-171,E0SM39,65-171,8081358.0,5NBG,B:65-171,E0SM39,65-171,"TP=1,CL=1000000,CF=2001323,SF=3002176,FA=4005829",1.0,1000000.0,2001323.0,3002176.0,4005829.0
8047500.0,4BL4,C:70-249,A0A0H3BZN5,70-249,8053339.0,4BL4,C:70-249,A0A0H3BZN5,70-249,"TP=1,CL=1000000,CF=2001324,SF=3002177,FA=4005669",1.0,1000000.0,2001324.0,3002177.0,4005669.0
8047501.0,1W33,A:70-250,O50957,70-250,8053340.0,1W33,A:70-250,O50957,70-250,"TP=1,CL=1000000,CF=2001324,SF=3002177,FA=4005669",1.0,1000000.0,2001324.0,3002177.0,4005669.0
8047502.0,4ALY,A:92-302,H7C7P4,92-302,8053341.0,4ALY,A:92-302,H7C7P4,92-302,"TP=1,CL=1000000,CF=2001324,SF=3002177,FA=4005669",1.0,1000000.0,2001324.0,3002177.0,4005669.0
8047503.0,4BG5,A:21-229,O50954,70-278,8053342.0,4BG5,A:21-229,O50954,70-278,"TP=1,CL=1000000,CF=2001324,SF=3002177,FA=4005669",1.0,1000000.0,2001324.0,3002177.0,4005669.0
8047504.0,5IZT,A:193-411,O50955,193-411,8053343.0,5IZT,A:193-411,O50955,193-411,"TP=1,CL=1000000,CF=2001324,SF=3002177,FA=4005669",1.0,1000000.0,2001324.0,3002177.0,4005669.0
8047505.0,4B2F,A:87-287,O50962,87-287,8053344.0,4B2F,A:87-287,O50962,87-287,"TP=1,CL=1000000,CF=2001324,SF=3002177,FA=4005669",1.0,1000000.0,2001324.0,3002177.0,4005669.0
8094568.0,6HPN,A:15-226,C0RC68,111-322,8094569.0,6HPN,A:15-226,C0RC68,111-322,"TP=1,CL=1000000,CF=2001324,SF=3002177,FA=4005669",1.0,1000000.0,2001324.0,3002177.0,4005669.0
8095300.0,6QO1,D:5-190,O50958,76-261,8095301.0,6QO1,D:5-190,O50958,76-261,"TP=1,CL=1000000,CF=2001324,SF=3002177,FA=4005669",1.0,1000000.0,2001324.0,3002177.0,4005669.0
8102802.0,6FL0,O:11-193,A0A7I6GVB3,67-249,8102803.0,6FL0,O:11-193,A0A7I6GVB3,67-249,"TP=1,CL=1000000,CF=2001324,SF=3002177,FA=4005669",1.0,1000000.0,2001324.0,3002177.0,4005669.0
8029092.0,1S7Z,A:5-110,P03775,6-111,8041471.0,1S7Z,A:5-110,P03775,6-111,"TP=1,CL=1000000,CF=2000566,SF=3000719,FA=4000601",1.0,1000000.0,2000566.0,3000719.0,4000601.0
8026246.0,1ANS,A:1-27,P01535,1-27,8038625.0,1ANS,A:1-27,P01535,1-27,"TP=1,CL=1000004,CF=2000463,SF=3000720,FA=4003368",1.0,1000004.0,2000463.0,3000720.0,4003368.0
8047638.0,2OH5,A:2-248,O10693,2-248,8053345.0,2OH5,A:2-248,O10693,2-248,"TP=1,CL=1000001,CF=2001325,SF=3002178,FA=4005728",1.0,1000001.0,2001325.0,3002178.0,4005728.0
8047639.0,5A9P,A:1-248,Q30C70,1-248,8053346.0,5A9P,A:1-248,Q30C70,1-248,"TP=1,CL=1000001,CF=2001325,SF=3002178,FA=4005728",1.0,1000001.0,2001325.0,3002178.0,4005728.0
8047640.0,5EXY,A:2-248,P11041,2-248,8053347.0,5EXY,A:2-248,P11041,2-248,"TP=1,CL=1000001,CF=2001325,SF=3002178,FA=4005728",1.0,1000001.0,2001325.0,3002178.0,4005728.0
8021376.0,1NZ6,A:1-98,Q27974,813-910,8033756.0,1NZ6,A:1-98,Q27974,813-910,"TP=1,CL=1000000,CF=2000036,SF=3000721,FA=4000605",1.0,1000000.0,2000036.0,3000721.0,4000605.0
8023475.0,1GH6,A:7-117,P03070,7-117,8035855.0,1GH6,A:7-117,P03070,7-117,"TP=1,CL=1000000,CF=2000036,SF=3000721,FA=4000605",1.0,1000000.0,2000036.0,3000721.0,4000605.0
8023545.0,1IUR,A:14-88,Q9NZJ4,4306-4380,8035925.0,1IUR,A:14-88,Q9NZJ4,4306-4380,"TP=1,CL=1000000,CF=2000036,SF=3000721,FA=4000605",1.0,1000000.0,2000036.0,3000721.0,4000605.0
8023929.0,1FAF,A:1-79,P03073,1-79,8036308.0,1FAF,A:1-79,P03073,1-79,"TP=1,CL=1000000,CF=2000036,SF=3000721,FA=4000605",1.0,1000000.0,2000036.0,3000721.0,4000605.0
8023933.0,1FPO,A:1-76,P0A6L9,1-76,8036312.0,1FPO,A:1-76,P0A6L9,1-76,"TP=1,CL=1000000,CF=2000036,SF=3000721,FA=4000605",1.0,1000000.0,2000036.0,3000721.0,4000605.0
8023937.0,1HDJ,A:0-75,P25685,1-76,8036316.0,1HDJ,A:0-75,P25685,1-76,"TP=1,CL=1000000,CF=2000036,SF=3000721,FA=4000605",1.0,1000000.0,2000036.0,3000721.0,4000605.0
8023938.0,1XBL,A:2-76,P08622,2-76,8036317.0,1XBL,A:2-76,P08622,2-76,"TP=1,CL=1000000,CF=2000036,SF=3000721,FA=4000605",1.0,1000000.0,2000036.0,3000721.0,4000605.0
8031244.0,1WJZ,A:8-88,Q91ZF0,1-81,8043622.0,1WJZ,A:8-88,Q91ZF0,1-81,"TP=1,CL=1000000,CF=2000036,SF=3000721,FA=4000605",1.0,1000000.0,2000036.0,3000721.0,4000605.0
8044674.0,2GUZ,H:54-117,P42949,54-117,8051847.0,2GUZ,H:54-117,P42949,54-117,"TP=1,CL=1000000,CF=2000036,SF=3000721,FA=4004074",1.0,1000000.0,2000036.0,3000721.0,4004074.0
