FA-DOMID,FA-PDBID,FA-PDBREG,FA-UNIID,FA-UNIREG,SF-DOMID,SF-PDBID,SF-PDBREG,SF-UNIID,SF-UNIREG,SCOPCLA,TP,CL,CF,SF,FA
8032109.0,1G99,A:1-398,P38502,1-398,8044487.0,1G99,A:1-197,P38502,1-197,"TP=1,CL=1000002,CF=2000067,SF=3000092,FA=4000522",1.0,1000002.0,2000067.0,3000092.0,4000522.0
8032109.0,1G99,A:1-398,P38502,1-398,8044488.0,1G99,A:198-398,P38502,198-398,"TP=1,CL=1000002,CF=2000067,SF=3000092,FA=4000522",1.0,1000002.0,2000067.0,3000092.0,4000522.0
8032111.0,1BDG,A:13-460,Q26609,3-447,8044489.0,1BDG,A:13-222,Q26609,3-210,"TP=1,CL=1000002,CF=2000067,SF=3000092,FA=4000524",1.0,1000002.0,2000067.0,3000092.0,4000524.0
8032111.0,1BDG,A:13-460,Q26609,3-447,8044490.0,1BDG,A:223-460,Q26609,211-447,"TP=1,CL=1000002,CF=2000067,SF=3000092,FA=4000524",1.0,1000002.0,2000067.0,3000092.0,4000524.0
8032113.0,1CZA,N:16-465,P19367,16-465,8044491.0,1CZA,N:16-222,P19367,16-222,"TP=1,CL=1000002,CF=2000067,SF=3000092,FA=4000524",1.0,1000002.0,2000067.0,3000092.0,4000524.0
8032113.0,1CZA,N:16-465,P19367,16-465,8044492.0,1CZA,N:223-465,P19367,223-465,"TP=1,CL=1000002,CF=2000067,SF=3000092,FA=4000524",1.0,1000002.0,2000067.0,3000092.0,4000524.0
8032115.0,1CZA,N:466-913,P19367,466-913,8044493.0,1CZA,N:466-670,P19367,466-670,"TP=1,CL=1000002,CF=2000067,SF=3000092,FA=4000524",1.0,1000002.0,2000067.0,3000092.0,4000524.0
8032115.0,1CZA,N:466-913,P19367,466-913,8044495.0,1CZA,N:671-913,P19367,671-913,"TP=1,CL=1000002,CF=2000067,SF=3000092,FA=4000524",1.0,1000002.0,2000067.0,3000092.0,4000524.0
8032121.0,1BG3,A:1-465,P05708,1-465,8044499.0,1BG3,A:1-222,P05708,1-222,"TP=1,CL=1000002,CF=2000067,SF=3000092,FA=4000524",1.0,1000002.0,2000067.0,3000092.0,4000524.0
8032121.0,1BG3,A:1-465,P05708,1-465,8044500.0,1BG3,A:223-465,P05708,223-465,"TP=1,CL=1000002,CF=2000067,SF=3000092,FA=4000524",1.0,1000002.0,2000067.0,3000092.0,4000524.0
