FA-DOMID,FA-PDBID,FA-PDBREG,FA-UNIID,FA-UNIREG,SF-DOMID,SF-PDBID,SF-PDBREG,SF-UNIID,SF-UNIREG,SCOPCLA,TP,CL,CF,SF,FA
8051745.0,4MO1,A:62-206,P03047,62-206,8102245.0,4MO1,A:114-155,P03047,114-155,"TP=1,CL=1000004,CF=2000953,SF=3001550,FA=4007496",1.0,1000004.0,2000953.0,3001550.0,4007496.0
8102246.0,6EKB,A:68-129,Q9SN73,68-129,8102247.0,6EKB,A:68-129,Q9SN73,68-129,"TP=1,CL=1000004,CF=2000953,SF=3001550,FA=4007820",1.0,1000004.0,2000953.0,3001550.0,4007820.0
8102254.0,2BX2,L:394-414,P21513,394-414,8102255.0,2BX2,L:394-414,P21513,394-414,"TP=1,CL=1000004,CF=2000953,SF=3001550,FA=4007824",1.0,1000004.0,2000953.0,3001550.0,4007824.0
8020950.0,1NHL,A:28-81,O00161,23-76,8033330.0,1NHL,A:28-81,O00161,23-76,"TP=3,CL=1000000,CF=2000962,SF=3001549,FA=4003812",3.0,1000000.0,2000962.0,3001549.0,4003812.0
8023563.0,1GL2,A:11-64,Q9WUF4,11-64,8035943.0,1GL2,A:11-64,Q9WUF4,11-64,"TP=3,CL=1000000,CF=2000962,SF=3001549,FA=4003812",3.0,1000000.0,2000962.0,3001549.0,4003812.0
8023565.0,1GL2,B:169-228,O70439,169-228,8035945.0,1GL2,B:169-228,O70439,169-228,"TP=3,CL=1000000,CF=2000962,SF=3001549,FA=4003812",3.0,1000000.0,2000962.0,3001549.0,4003812.0
8023566.0,1GL2,C:139-198,O88384,139-198,8035946.0,1GL2,C:139-198,O88384,139-198,"TP=3,CL=1000000,CF=2000962,SF=3001549,FA=4003812",3.0,1000000.0,2000962.0,3001549.0,4003812.0
8023567.0,1GL2,D:152-206,Q9Z2Q7,152-206,8035947.0,1GL2,D:152-206,Q9Z2Q7,152-206,"TP=3,CL=1000000,CF=2000962,SF=3001549,FA=4003812",3.0,1000000.0,2000962.0,3001549.0,4003812.0
8026446.0,3B5N,A:28-86,P31109,28-86,8038825.0,3B5N,A:28-86,P31109,28-86,"TP=3,CL=1000000,CF=2000962,SF=3001549,FA=4003812",3.0,1000000.0,2000962.0,3001549.0,4003812.0
8026447.0,3B5N,B:189-254,P32867,189-254,8038826.0,3B5N,B:189-254,P32867,189-254,"TP=3,CL=1000000,CF=2000962,SF=3001549,FA=4003812",3.0,1000000.0,2000962.0,3001549.0,4003812.0
8026451.0,3B5N,C:443-496,P40357,443-496,8038830.0,3B5N,C:443-496,P40357,443-496,"TP=3,CL=1000000,CF=2000962,SF=3001549,FA=4003812",3.0,1000000.0,2000962.0,3001549.0,4003812.0
8027944.0,1KIL,E:32-72,P63041,32-72,8040323.0,1KIL,E:32-72,P63041,32-72,"TP=3,CL=1000000,CF=2000962,SF=3001549,FA=4003812",3.0,1000000.0,2000962.0,3001549.0,4003812.0
8028589.0,1URQ,A:1051-1108,Q9WU70,1087-1144,8040968.0,1URQ,A:1051-1108,Q9WU70,1087-1144,"TP=3,CL=1000000,CF=2000962,SF=3001549,FA=4003812",3.0,1000000.0,2000962.0,3001549.0,4003812.0
8028660.0,1L4A,A:33-98,P47194,33-98,8041039.0,1L4A,A:33-98,P47194,33-98,"TP=3,CL=1000000,CF=2000962,SF=3001549,FA=4003812",3.0,1000000.0,2000962.0,3001549.0,4003812.0
8028661.0,1L4A,B:183-259,O46345,183-259,8041040.0,1L4A,B:183-259,O46345,183-259,"TP=3,CL=1000000,CF=2000962,SF=3001549,FA=4003812",3.0,1000000.0,2000962.0,3001549.0,4003812.0
8028663.0,1L4A,C:11-83,Q8T3S4,11-83,8041042.0,1L4A,C:11-83,Q8T3S4,11-83,"TP=3,CL=1000000,CF=2000962,SF=3001549,FA=4003812",3.0,1000000.0,2000962.0,3001549.0,4003812.0
8028667.0,1L4A,E:49-76,Q95PA1,49-76,8041046.0,1L4A,E:49-76,Q95PA1,49-76,"TP=3,CL=1000000,CF=2000962,SF=3001549,FA=4003812",3.0,1000000.0,2000962.0,3001549.0,4003812.0
8031286.0,1N7S,A:27-89,P63045,27-89,8043664.0,1N7S,A:27-89,P63045,27-89,"TP=3,CL=1000000,CF=2000962,SF=3001549,FA=4003812",3.0,1000000.0,2000962.0,3001549.0,4003812.0
8031287.0,1N7S,B:191-256,P32851,191-256,8043665.0,1N7S,B:191-256,P32851,191-256,"TP=3,CL=1000000,CF=2000962,SF=3001549,FA=4003812",3.0,1000000.0,2000962.0,3001549.0,4003812.0
8031289.0,1N7S,C:7-83,P60881,7-83,8043667.0,1N7S,C:7-83,P60881,7-83,"TP=3,CL=1000000,CF=2000962,SF=3001549,FA=4003812",3.0,1000000.0,2000962.0,3001549.0,4003812.0
8031780.0,1XTG,B:146-204,P60880,146-204,8044158.0,1XTG,B:146-168,P60880,146-168,"TP=3,CL=1000000,CF=2000962,SF=3001549,FA=4003812",3.0,1000000.0,2000962.0,3001549.0,4003812.0
8065293.0,2NPS,B:184-248,G3V7P1,184-248,8065294.0,2NPS,B:184-248,G3V7P1,184-248,"TP=3,CL=1000000,CF=2000962,SF=3001549,FA=4003812",3.0,1000000.0,2000962.0,3001549.0,4003812.0
