FA-DOMID,FA-PDBID,FA-PDBREG,FA-UNIID,FA-UNIREG,SF-DOMID,SF-PDBID,SF-PDBREG,SF-UNIID,SF-UNIREG,SCOPCLA,TP,CL,CF,SF,FA
8027388.0,1SXJ,C:12-238,P38629,12-238,8039767.0,1SXJ,C:12-165,P38629,12-165,"TP=1,CL=1000002,CF=2001248,SF=3002019,FA=4000283",1.0,1000002.0,2001248.0,3002019.0,4000283.0
8027392.0,1SXJ,D:26-262,P40348,26-262,8039771.0,1SXJ,D:26-191,P40348,26-191,"TP=1,CL=1000002,CF=2001248,SF=3002019,FA=4000283",1.0,1000002.0,2001248.0,3002019.0,4000283.0
8027395.0,1SXJ,E:4-255,P38251,4-255,8039774.0,1SXJ,E:4-192,P38251,4-192,"TP=1,CL=1000002,CF=2001248,SF=3002019,FA=4000283",1.0,1000002.0,2001248.0,3002019.0,4000283.0
8027505.0,1JBK,A:159-351,P63284,159-351,8039884.0,1JBK,A:159-351,P63284,159-351,"TP=1,CL=1000002,CF=2001248,SF=3002019,FA=4000283",1.0,1000002.0,2001248.0,3002019.0,4000283.0
8027602.0,1T5L,A:2-595,P56981,3-595,8039981.0,1T5L,A:2-414,P56981,3-414,"TP=1,CL=1000002,CF=2001248,SF=3002019,FA=4000282",1.0,1000002.0,2001248.0,3002019.0,4000282.0
8027602.0,1T5L,A:2-595,P56981,3-595,8039982.0,1T5L,A:415-595,P56981,415-595,"TP=1,CL=1000002,CF=2001248,SF=3002019,FA=4000282",1.0,1000002.0,2001248.0,3002019.0,4000282.0
8027625.0,1QVR,A:149-535,Q9RA63,149-535,8040004.0,1QVR,A:149-331,Q9RA63,149-331,"TP=1,CL=1000002,CF=2001248,SF=3002019,FA=4000283",1.0,1000002.0,2001248.0,3002019.0,4000283.0
8027626.0,1QVR,A:536-850,Q9RA63,536-850,8040005.0,1QVR,A:536-756,Q9RA63,536-756,"TP=1,CL=1000002,CF=2001248,SF=3002019,FA=4000283",1.0,1000002.0,2001248.0,3002019.0,4000283.0
8027660.0,1T6N,A:45-251,Q13838,45-251,8040039.0,1T6N,A:45-251,Q13838,45-251,"TP=1,CL=1000002,CF=2001248,SF=3002019,FA=4000282",1.0,1000002.0,2001248.0,3002019.0,4000282.0
8027738.0,6N2I,A:247-584,P0A9M0,247-584,8040117.0,6N2I,A:312-493,P0A9M0,312-493,"TP=1,CL=1000002,CF=2001248,SF=3002019,FA=4000283",1.0,1000002.0,2001248.0,3002019.0,4000283.0
