FA-DOMID,FA-PDBID,FA-PDBREG,FA-UNIID,FA-UNIREG,SF-DOMID,SF-PDBID,SF-PDBREG,SF-UNIID,SF-UNIREG,SCOPCLA,TP,CL,CF,SF,FA
8045703.0,3H8D,C:1143-1264,Q64331,1143-1264,8091604.0,3H8D,C:1143-1264,Q64331,1143-1264,"TP=1,CL=1000003,CF=2001470,SF=3002524,FA=4004627",1.0,1000003.0,2001470.0,3002524.0,4004627.0
8094330.0,6J56,A:1158-1282,Q9UM54,1167-1291,8094331.0,6J56,A:1158-1282,Q9UM54,1167-1291,"TP=1,CL=1000003,CF=2001470,SF=3002524,FA=4004627",1.0,1000003.0,2001470.0,3002524.0,4004627.0
8017835.0,3FKQ,A:1-116,D0VX10,1-116,8017836.0,3FKQ,A:1-116,D0VX10,1-116,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003986",1.0,1000002.0,2000016.0,3001156.0,4003986.0
8021315.0,1XHF,A:2-122,P0A9Q1,2-122,8033695.0,1XHF,A:2-122,P0A9Q1,2-122,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0
8021787.0,1Y7P,B:79-215,O28869,79-215,8034167.0,1Y7P,B:79-215,O28869,79-215,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4002481",1.0,1000002.0,2000016.0,3001156.0,4002481.0
8021931.0,1JBE,A:2-129,P0AE67,2-129,8034311.0,1JBE,A:2-129,P0AE67,2-129,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0
8022184.0,1YIO,A:3-130,O30989,3-130,8034564.0,1YIO,A:3-130,O30989,3-130,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0
8022194.0,1P2F,A:3-120,Q9WXY0,3-120,8034574.0,1P2F,A:3-120,Q9WXY0,3-120,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0
8022532.0,1YS6,B:7-127,P9WGM1,7-127,8034912.0,1YS6,B:7-127,P9WGM1,7-127,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0
8023273.0,1ZGZ,A:2-121,P38684,2-121,8035653.0,1ZGZ,A:2-121,P38684,2-121,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0
8023280.0,1ZH2,A:2-120,P21866,2-120,8035660.0,1ZH2,A:2-120,P21866,2-120,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0
8023314.0,1ZES,A:3-123,P0AFJ5,3-123,8035694.0,1ZES,A:3-123,P0AFJ5,3-123,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0
8023408.0,2PL1,A:1-119,P23836,1-119,8035788.0,2PL1,A:1-119,P23836,1-119,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0
8023786.0,1KRW,A:1-124,P41789,1-124,8036166.0,1KRW,A:1-124,P41789,1-124,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0
8023805.0,1K66,A:2-149,Q8RTM8,2-149,8036185.0,1K66,A:2-149,Q8RTM8,2-149,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0
8023808.0,1K68,A:10-148,Q8RTN0,9-147,8036188.0,1K68,A:10-148,Q8RTN0,9-147,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0
8024166.0,2R25,B:1087-1214,P39928,1087-1214,8036545.0,2R25,B:1087-1214,P39928,1087-1214,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1.0,1000002.0,2000016.0,3001156.0,4003632.0
